City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3
huangmei,CN,49.51,54.46,48.67,22.17,12.99,1161.58,0.0
sitka,US,0.63,0.8,0.41,77.25,0.3,216.96,0.0
badger,US,0.5,0.63,5.14,51.5,1.1,257.02,0.22
edinburgh of the seven seas,SH,0.5,1.5,0.03,51.5,0.03,233.65,0.0
ballina,AU,2.57,6.26,0.8,66.52,1.07,230.31,0.67
wailua homesteads,US,2.09,10.24,0.34,60.08,0.14,185.25,0.03
west island,CC,1.55,6.27,0.01,49.35,0.13,283.72,0.04
tobelo,ID,0.5,0.55,0.17,11.36,0.04,220.3,0.09
puerto ayora,EC,2.82,8.59,0.47,36.12,0.13,280.38,0.12
port-aux-francais,TF,0.5,0.8,0.0,42.2,0.03,226.97,0.0
albany,US,2.13,2.58,12.85,24.68,0.12,253.68,0.12
gizo,SB,0.55,1.15,0.0,27.9,0.08,220.3,0.0
angaur state,PW,0.5,1.13,0.12,18.95,0.09,176.91,0.0
adamstown,PN,3.03,15.84,0.05,62.23,0.25,240.33,0.0
tazacorte,ES,3.14,15.29,0.24,89.41,0.3,195.27,0.0
clanton,US,3.14,5.95,9.34,33.98,1.06,257.02,0.48
silifke,TR,0.83,1.25,1.5,73.67,0.87,220.3,1.22
olonkinbyen,SJ,1.09,3.25,0.02,80.11,0.04,220.3,0.0
tura,IN,65.53,71.13,2.23,38.98,0.94,520.71,2.47
solleftea,SE,1.9,1.94,0.57,56.51,0.1,216.96,0.02
stanley,GB,0.5,0.76,2.87,35.76,0.45,198.6,0.81
mongoumba,CF,0.69,0.86,0.06,0.13,0.01,181.91,0.06
bamboo flat,IN,0.61,0.89,1.2,44.35,0.25,230.31,0.03
nemuro,JP,5.11,8.57,0.86,94.41,0.68,250.34,0.1
bethel,US,1.36,1.94,4.54,74.39,0.27,226.97,0.36
taroa,MH,0.5,0.87,0.01,24.32,0.01,211.95,0.0
gopalpur,IN,5.85,8.12,3.04,32.9,2.06,330.45,2.19
invercargill,NZ,0.84,1.21,0.72,55.79,0.67,216.96,1.47
ushuaia,AR,0.5,2.92,0.41,27.54,0.06,213.62,0.23
