City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3,DALYs_per_100k
abong mbang,CM,1.7,5.99,0.62,98.71,0.38,198.6,0.17,5871.4
acarau,BR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,15847.8
ad dindar,SD,1.7,5.99,0.62,98.71,0.38,198.6,0.17,7159.5
aioun,MR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,627.5
aketi,CD,1.7,5.99,0.62,98.71,0.38,198.6,0.17,20697.8
aktau,KZ,1.7,5.99,0.62,98.71,0.38,198.6,0.17,3645.7
akureyri,IS,1.7,5.99,0.62,98.71,0.38,198.6,0.17,15.0
al bawiti,EG,1.7,5.99,0.62,98.71,0.38,198.6,0.17,14541.2
alaghsas,NE,1.7,5.99,0.62,98.71,0.38,198.6,0.17,5487.8
albany,US,1.7,5.99,0.62,98.71,0.38,198.6,0.17,22347.7
albertina,BR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,15847.8
alice springs,AU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,1039.6
alotau,PG,1.7,5.99,0.62,98.71,0.38,198.6,0.17,1731.9
aluksne,LV,1.7,5.99,0.62,98.71,0.38,198.6,0.17,525.1
amble,GB,1.7,5.99,0.62,98.71,0.38,198.6,0.17,5922.3
amga,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
amursk,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
an muileann gcearr,IE,1.7,5.99,0.62,98.71,0.38,198.6,0.17,269.5
anadyr,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
ancud,CL,1.7,5.99,0.62,98.71,0.38,198.6,0.17,1178.1
aral,CN,1.7,5.99,0.62,98.71,0.38,198.6,0.17,415308.3
arawa,PG,1.7,5.99,0.62,98.71,0.38,198.6,0.17,1731.9
armacao de buzios,BR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,15847.8
arno,SE,1.7,5.99,0.62,98.71,0.38,198.6,0.17,639.2
arraial do cabo,BR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,15847.8
arteche,PH,1.7,5.99,0.62,98.71,0.38,198.6,0.17,25769.7
astorga,BR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,15847.8
at-bashi,KG,1.7,5.99,0.62,98.71,0.38,198.6,0.17,1326.2
atar,MR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,627.5
axim,GH,1.7,5.99,0.62,98.71,0.38,198.6,0.17,5878.0
aykhal,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
azhikkal,IN,1.7,5.99,0.62,98.71,0.38,198.6,0.17,343589.3
badger,US,1.7,5.99,0.62,98.71,0.38,198.6,0.17,22347.7
balabac,PH,1.7,5.99,0.62,98.71,0.38,198.6,0.17,25769.7
balaka,MW,1.7,5.99,0.62,98.71,0.38,198.6,0.17,2605.9
baley,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
balkanabat,TM,1.7,5.99,0.62,98.71,0.38,198.6,0.17,775.2
bamboo flat,IN,1.7,5.99,0.62,98.71,0.38,198.6,0.17,343589.3
bandarbeyla,SO,1.7,5.99,0.62,98.71,0.38,198.6,0.17,4656.4
bankim,CM,1.7,5.99,0.62,98.71,0.38,198.6,0.17,5871.4
basco,PH,1.7,5.99,0.62,98.71,0.38,198.6,0.17,25769.7
bayanaul,KZ,1.7,5.99,0.62,98.71,0.38,198.6,0.17,3645.7
beau vallon,MU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,108.9
bechar,DZ,1.7,5.99,0.62,98.71,0.38,198.6,0.17,3441.1
beledweyne,SO,1.7,5.99,0.62,98.71,0.38,198.6,0.17,4656.4
belmonte,BR,1.7,5.99,0.62,98.71,0.38,198.6,0.17,15847.8
belomorsk,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
belyy yar,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
bethel,US,1.7,5.99,0.62,98.71,0.38,198.6,0.17,22347.7
bich'vinta,GE,1.7,5.99,0.62,98.71,0.38,198.6,0.17,1905.0
bikenibeu village,KI,1.7,5.99,0.62,98.71,0.38,198.6,0.17,37.7
bilibino,RU,1.7,5.99,0.62,98.71,0.38,198.6,0.17,42940.8
