Country,Year,MortalityRate_per_100k
ITA,2019,3.96706
LCA,2019,4.05781
30,2019,0.05425
UNSDG_SUBSAHARANAFRICA,2019,0.13766
SUR,2019,1.19598
UNSDG_WESTERNASIANORTHERNAFR,2019,0.01136
15,2019,0.00499
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.18707
UNSDG_LAC,2019,0.00132
MNG,2019,1.74265
34,2019,0.10073
WB_LIMI,2019,9.70293
UGA,2019,1.60515
UNSDG_OCEANIAexAUSNZL,2019,0.04255
419,2019,0.01002
UNSDG_LAC,2019,0.13943
JOR,2019,5.01802
UNSDG_OCEANIAexAUSNZL,2019,0.41317
TTO,2019,0.69731
CYP,2019,2.80142
WB_LIMI,2019,0.14238
419,2019,0.05177
JPN,2019,46.85249
WB_HI,2019,0.06239
EMR,2019,0.10165
150,2019,0.82466
ZMB,2019,5.02294
150,2019,0.04182
30,2019,0.28516
NER,2019,9.15765
AMR,2019,0.02063
WB_LIMI,2019,0.73318
21,2019,0.05046
UNSDG_OCEANIAexAUSNZL,2019,0.05633
30,2019,2.27607
HTI,2019,30.21838
15,2019,0.13439
UNSDG_AUSTRALIANEWZEALAND,2019,0.04665
GLOBAL,2019,0.59074
9,2019,0.06704
WB_HI,2019,0.02485
UNSDG_WESTERNASIANORTHERNAFR,2019,33.92826
143,2019,0.06341
PAN,2019,11.89427
ERI,2019,37.31306
145,2019,0.50023
POL,2019,63.68282
EMR,2019,0.04936
150,2019,0.71541
EUR,2019,0.19723
LUX,2019,2.88401
WPR,2019,3.74168
SAU,2019,0.26533
UNSDG_EUROPENORTHERNAMR,2019,0.01579
GMB,2019,10.30151
ETH,2019,4.74606
LBN,2019,3.7765
CZE,2019,76.15134
FSM,2019,32.6839
UNSDG_AUSTRALIANEWZEALAND,2019,0.35206
UNSDG_WESTERNASIANORTHERNAFR,2019,0.06837
EMR,2019,0.96678
MAR,2019,37.52534
BIH,2019,40.26622
HTI,2019,8.18896
21,2019,0.20921
UNSDG_WESTERNASIANORTHERNAFR,2019,0.4253
CMR,2019,8.72294
SWZ,2019,2.56141
UNSDG_SUBSAHARANAFRICA,2019,1.27317
21,2019,2.2229
202,2019,1.37117
21,2019,0.2081
TON,2019,1.86911
NLD,2019,4.81812
150,2019,0.02658
ITA,2019,29.52116
419,2019,0.10975
419,2019,0.01037
UNSDG_OCEANIAexAUSNZL,2019,0.11177
WB_LIMI,2019,0.17932
143,2019,0.33922
URY,2019,6.92651
GMB,2019,11.16895
SEAR,2019,0.09123
AFR,2019,1.45706
UNSDG_CENTRALASIASOUTHERNASIA,2019,3.35481
BGD,2019,4.90498
UNSDG_LAC,2019,0.67758
SLV,2019,0.41727
WB_HI,2019,0.01137
PAK,2019,8.04932
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.54867
PRT,2019,6.9181
MMR,2019,1.45183
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.10285
IRN,2019,7.15351
CRI,2019,2.28145
SEN,2019,10.37217
UNSDG_LAC,2019,0.00289
SDN,2019,5.24672
TGO,2019,39.35098
35,2019,0.23554
UNSDG_EUROPENORTHERNAMR,2019,0.62128
34,2019,12.92398
WPR,2019,0.01461
145,2019,1.21819
MDA,2019,14.30052
DOM,2019,27.76935
WB_LIMI,2019,0.27133
PHL,2019,3.01789
ETH,2019,7.0159
145,2019,3.17377
21,2019,0.18945
202,2019,0.05757
UNSDG_SUBSAHARANAFRICA,2019,0.8618
419,2019,0.02352
UNSDG_AUSTRALIANEWZEALAND,2019,0.12793
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.0402
GLOBAL,2019,0.03323
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.14964
202,2019,0.39476
GLOBAL,2019,0.09251
AFR,2019,0.18325
UNSDG_LAC,2019,0.38808
LUX,2019,1.55102
WB_HI,2019,0.01469
WPR,2019,0.02228
34,2019,2.23751
UNSDG_AUSTRALIANEWZEALAND,2019,2.28444
UNSDG_AUSTRALIANEWZEALAND,2019,0.00279
WB_HI,2019,0.15934
VEN,2019,1.01572
145,2019,0.14482
UNSDG_SUBSAHARANAFRICA,2019,0.40346
9,2019,0.13915
202,2019,0.02459
KGZ,2019,2.30064
QAT,2019,15.12658
UNSDG_OCEANIAexAUSNZL,2019,4e-05
UNSDG_WESTERNASIANORTHERNAFR,2019,0.0494
15,2019,0.32732
WPR,2019,1.45939
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.64488
NGA,2019,39.58423
EMR,2019,0.16377
21,2019,1.30568
SVK,2019,1.46121
CRI,2019,3.72049
CAN,2019,1.03212
BGR,2019,2.68417
21,2019,19.06688
UNSDG_LAC,2019,0.56881
GIN,2019,7.49115
MDV,2019,0.40663
150,2019,0.00425
143,2019,0.1852
AMR,2019,0.09151
UNSDG_SUBSAHARANAFRICA,2019,0.31887
UNSDG_AUSTRALIANEWZEALAND,2019,0.01361
BEL,2019,1.7702
PER,2019,1.28071
UNSDG_SUBSAHARANAFRICA,2019,0.8606
IND,2019,16.26889
150,2019,0.24711
PHL,2019,0.96173
MLI,2019,30.13048
UNSDG_LAC,2019,0.23405
NLD,2019,33.26907
UNSDG_WESTERNASIANORTHERNAFR,2019,0.0065
WPR,2019,0.20533
WB_HI,2019,0.00444
9,2019,1.8177
SEAR,2019,0.14368
35,2019,0.95454
SRB,2019,5.01281
UNSDG_EUROPENORTHERNAMR,2019,0.22333
BIH,2019,3.02257
145,2019,0.10995
AMR,2019,0.37779
ARE,2019,2.33675
BFA,2019,1.26177
COL,2019,3.13585
30,2019,0.21296
35,2019,0.61916
30,2019,3.8944
MMR,2019,19.5735
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.8112
UNSDG_AUSTRALIANEWZEALAND,2019,0.17348
FRA,2019,2.50352
SEAR,2019,11.95183
WSM,2019,1.52976
PRT,2019,0.50192
MAR,2019,0.19792
NAM,2019,7.14734
WB_LIMI,2019,0.08632
EUR,2019,0.01768
UNSDG_AUSTRALIANEWZEALAND,2019,0.00389
EUR,2019,2.49423
UNSDG_WESTERNASIANORTHERNAFR,2019,0.10798
MUS,2019,7.29598
PRT,2019,4.56843
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,1.55258
UKR,2019,106.196
419,2019,0.11436
MLI,2019,0.27981
35,2019,0.12793
UNSDG_LAC,2019,0.04249
UNSDG_EUROPENORTHERNAMR,2019,0.73228
ALB,2019,0.85338
143,2019,0.64814
MDA,2019,2.65907
UNSDG_EUROPENORTHERNAMR,2019,0.00287
VUT,2019,0.04275
RUS,2019,2.29822
MDV,2019,2.77493
35,2019,0.95333
15,2019,0.05868
UNSDG_EUROPENORTHERNAMR,2019,0.4301
CUB,2019,4.18465
GRD,2019,1.12165
DZA,2019,0.92289
35,2019,2.20269
30,2019,2.67387
HND,2019,4.02222
419,2019,1.53045
COD,2019,0.14507
202,2019,0.03099
UNSDG_CENTRALASIASOUTHERNASIA,2019,2.26283
WB_LIMI,2019,0.00896
34,2019,0.05597
IDN,2019,3.4453
GRC,2019,73.63147
202,2019,0.91389
UNSDG_SUBSAHARANAFRICA,2019,0.0095
AFR,2019,0.00092
UNSDG_WESTERNASIANORTHERNAFR,2019,0.55726
15,2019,3.30691
PER,2019,9.76016
34,2019,3.10219
UNSDG_LAC,2019,0.17512
AMR,2019,8.51193
OMN,2019,6.83996
NGA,2019,0.16299
UNSDG_WESTERNASIANORTHERNAFR,2019,0.02851
BEN,2019,40.51914
KHM,2019,12.50545
WPR,2019,0.07833
VNM,2019,21.73837
AFR,2019,0.05433
21,2019,0.00039
202,2019,0.05471
GMB,2019,35.14861
WB_HI,2019,0.17763
SDN,2019,0.9861
EUR,2019,0.13718
WB_LIMI,2019,0.27638
WB_LIMI,2019,0.48727
BGR,2019,1.68744
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,1.6819
21,2019,0.98463
BLR,2019,109.04723
GNB,2019,15.63206
GRD,2019,21.0747
EMR,2019,0.14888
AZE,2019,3.19361
HRV,2019,3.84497
CHE,2019,2.41705
WB_LIMI,2019,0.04958
34,2019,0.2867
GRD,2019,8.54635
EUR,2019,2.83721
WB_LIMI,2019,0.51083
34,2019,0.0474
EUR,2019,0.26908
WPR,2019,0.14834
MEX,2019,2.87508
202,2019,0.82578
AFR,2019,0.77945
ZWE,2019,8.89204
9,2019,7.80322
9,2019,1.87092
WPR,2019,0.16488
UNSDG_OCEANIAexAUSNZL,2019,1.47351
9,2019,0.1886
