Country,Year,MortalityRate_per_100k
CIV,2015,40.103
SOM,2011,53.318
GRD,2012,0.567
BRN,2015,1.44
HND,2016,32.081
ESP,2010,11.253
SUR,2014,1.013
TON,2012,2.601
KHM,2012,53.097
BHR,2016,6.592
MEX,2014,3.468
SRB,2011,8.415
MDV,2019,29.395
YEM,2011,96.364
ISR,2015,2.451
STP,2013,1.725
BRB,2019,7.873
FSM,2012,11.243
AGO,2012,4.48
UKR,2012,11.453
TUN,2017,55.576
CAN,2010,1.013
AGO,2010,4.068
THA,2011,2.572
HND,2015,60.008
LBN,2015,2.444
MNG,2011,114.652
TON,2019,1.261
SLB,2011,2.285
ARG,2013,12.288
CIV,2012,43.412
BRN,2019,5.027
RWA,2016,23.248
SVK,2015,2.756
MWI,2019,18.349
AGO,2017,70.909
GRC,2017,4.596
MMR,2018,9.717
AFG,2017,10.512
ZAF,2015,21.252
MUS,2012,2.206
EMR,2019,2.11
NZL,2012,1.045
EST,2015,12.299
ECU,2010,13.524
WSM,2011,17.624
NZL,2012,9.335
FJI,2016,28.717
UGA,2016,5.384
BIH,2017,1.519
TCD,2012,113.317
SVK,2016,4.787
CIV,2010,43.841
ISR,2011,1.301
LBR,2013,25.047
PNG,2017,14.423
LKA,2012,3.867
GNB,2013,30.171
HND,2016,29.242
FIN,2017,0.273
GNB,2019,28.832
BLR,2017,9.834
BWA,2016,12.685
SYR,2012,84.18
ZAF,2014,2.903
IND,2013,15.162
BGR,2010,40.388
DZA,2011,9.71
ALB,2012,3.951
COM,2010,48.848
CHN,2017,53.76
GAB,2012,11.346
MDA,2019,11.715
ZMB,2017,0.345
CUB,2016,1.93
SGP,2013,36.097
LUX,2017,8.366
EGY,2016,0.924
BIH,2017,4.564
MMR,2011,13.147
GBR,2015,1.579
NAM,2012,0.158
DOM,2019,0.348
GNQ,2018,19.541
GRC,2018,31.56
FIN,2018,0.459
BTN,2019,0.974
KEN,2018,0.137
TCD,2013,0.359
BDI,2019,0.14
THA,2010,6.089
TTO,2010,25.104
SVK,2016,1.45
PRT,2014,0.769
EST,2012,0.991
PRT,2016,2.933
EST,2011,24.257
CPV,2011,12.357
UZB,2013,0.794
KWT,2011,46.261
TGO,2019,33.047
ERI,2012,25.206
SYR,2012,1.068
SGP,2015,0.24
DNK,2012,14.941
ISR,2015,6.218
IND,2011,28.483
FRA,2014,0.777
FIN,2016,1.25
TTO,2019,1.83
MAR,2010,1.847
TZA,2015,10.326
SWZ,2012,36.099
GAB,2017,1.367
EMR,2010,64.652
KHM,2018,13.565
URY,2011,0.42
NER,2014,29.94
TUN,2017,1.585
BGD,2012,68.339
NIC,2015,40.566
FIN,2012,17.017
COL,2018,28.63
THA,2013,8.656
BGD,2011,28.171
SEAR,2013,12.256
TLS,2019,61.184
GEO,2010,21.305
GLOBAL,2018,11.507
PRY,2012,0.894
MUS,2016,1.812
MDG,2014,15.223
KWT,2013,5.06
EGY,2018,10.619
ZAF,2019,15.14
MNG,2019,89.414
USA,2019,11.333
KAZ,2014,0.909
BHR,2011,80.278
EUR,2010,2.239
VNM,2018,14.905
CHE,2016,0.515
AFG,2019,0.808
ATG,2015,0.88
GAB,2018,22.792
SWZ,2013,6.265
BLZ,2015,3.784
KWT,2011,56.975
HRV,2019,5.019
BFA,2017,14.996
CAN,2018,0.975
JAM,2013,1.421
SDN,2012,15.613
CMR,2011,29.794
CAF,2016,107.917
GNB,2019,0.288
HUN,2010,8.924
JPN,2016,0.551
EUR,2015,2.066
PNG,2012,0.292
UZB,2016,4.917
CUB,2018,5.19
PNG,2018,7.653
PNG,2017,0.339
ARE,2013,12.153
TZA,2014,10.666
CZE,2010,3.431
VEN,2017,46.546
AFG,2012,11.96
VEN,2011,4.86
SWE,2014,7.577
BLZ,2017,0.557
IRL,2010,1.958
DZA,2012,37.145
TUN,2019,67.212
PRK,2014,46.984
BIH,2012,20.943
TUR,2018,8.084
RUS,2011,0.289
SEAR,2012,12.221
SLB,2016,0.271
GHA,2017,26.153
SLB,2018,12.857
PAN,2010,0.792
COL,2019,0.472
LCA,2011,2.002
KIR,2012,2.828
GBR,2016,2.308
VUT,2018,11.123
CRI,2012,2.322
BWA,2014,32.208
FJI,2019,5.482
DEU,2012,0.959
USA,2019,1.574
LAO,2019,19.943
SYC,2017,55.164
MDV,2011,6.826
GRC,2019,4.34
CIV,2019,20.285
GMB,2017,33.167
VUT,2015,5.463
NPL,2018,9.889
CIV,2014,49.19
GIN,2010,0.308
AUT,2019,1.504
CYP,2010,0.544
WSM,2016,2.75
AMR,2016,3.385
GBR,2012,13.779
AZE,2015,3.479
UKR,2016,2.436
CUB,2016,4.58
KAZ,2015,6.271
SLV,2013,3.376
ARM,2015,37.288
OMN,2010,110.354
PRK,2012,142.462
IRL,2017,1.2
BGD,2011,13.947
BIH,2018,1.842
MWI,2011,24.27
MRT,2011,26.246
ARE,2012,15.332
AUT,2014,14.521
TCD,2013,125.25
IDN,2016,23.871
COG,2016,0.483
GRC,2012,6.806
SYR,2012,4.476
CPV,2016,46.911
GBR,2015,2.321
STP,2018,25.968
GBR,2010,16.205
BIH,2010,9.522
ZAF,2017,10.892
UGA,2018,5.114
FRA,2018,5.672
SEAR,2010,15.791
HRV,2017,2.917
BRA,2016,0.973
VEN,2012,1.012
LSO,2011,39.27
SLB,2018,47.34
FJI,2015,26.767
PHL,2017,70.005
NER,2013,31.578
GMB,2011,85.518
PRY,2010,21.793
LBN,2013,4.229
GLOBAL,2017,21.265
NLD,2014,2.591
HUN,2019,38.035
STP,2015,0.962
TKM,2014,0.571
ALB,2011,13.26
CHN,2018,50.178
UZB,2014,6.762
BLZ,2010,22.976
VCT,2010,0.356
GNB,2013,105.238
MNE,2016,25.828
KOR,2014,4.874
SEN,2018,26.264
BRA,2011,2.443
ISR,2012,18.099
BOL,2013,1.387
JAM,2013,1.72
AUS,2011,10.11
ATG,2017,11.78
BFA,2010,36.966
KIR,2019,35.58
NPL,2016,91.838
COL,2011,4.162
GTM,2017,3.041
ATG,2012,15.154
FSM,2011,10.967
AFR,2018,14.669
MEX,2010,4.933
UZB,2010,25.19
ISL,2013,0.56
ROU,2019,0.73
SVN,2018,9.589
MLI,2010,19.661
AUT,2012,2.49
ESP,2015,1.839
BRB,2016,0.362
ISL,2016,8.681
AUT,2015,12.273
VEN,2018,3.736
POL,2019,2.982
CUB,2019,2.87
MUS,2019,0.465
TJK,2013,14.072
CHN,2014,4.47
BRB,2010,7.699
AUS,2012,6.769
DZA,2012,1.978
IRN,2013,1.613
DOM,2010,28.03
MOZ,2017,21.096
STP,2016,7.394
IND,2017,37.427
PRK,2012,8.106
GLOBAL,2012,10.216
PRK,2011,10.856
AFR,2013,62.944
MRT,2013,59.756
TGO,2016,0.159
BGR,2019,1.243
QAT,2018,66.107
URY,2013,1.65
WPR,2014,9.441
NOR,2019,9.427
NGA,2010,0.363
FRA,2011,2.364
MYS,2017,60.436
KEN,2014,12.826
AGO,2012,19.135
DOM,2010,1.526
HRV,2018,5.911
ITA,2015,3.828
KAZ,2014,26.472
GEO,2014,3.838
EUR,2011,47.235
KEN,2012,10.956
BRA,2019,3.844
CHE,2017,1.489
JAM,2011,1.703
COD,2016,16.346
UGA,2010,10.222
SVN,2016,10.414
KOR,2010,10.739
ARM,2016,7.237
GBR,2016,2.027
OMN,2017,21.312
GAB,2011,21.666
THA,2010,6.965
BFA,2014,17.612
DOM,2015,0.654
MNG,2012,40.492
AFG,2017,142.569
BRN,2019,1.202
TUN,2015,10.989
ARG,2013,8.294
SDN,2014,8.486
ISL,2010,16.665
TJK,2010,42.374
UKR,2012,1.525
BEL,2010,16.485
GBR,2017,10.732
CMR,2014,29.122
RWA,2012,0.73
CIV,2018,70.512
TGO,2013,46.283
EGY,2019,0.976
POL,2013,73.023
LBY,2019,1.694
SGP,2010,18.78
URY,2015,14.856
AFR,2011,0.464
DEU,2018,11.578
BOL,2011,5.991
CIV,2011,24.822
GMB,2015,19.821
STP,2010,3.008
MKD,2013,26.906
SRB,2014,65.654
GRD,2011,22.384
BWA,2010,27.033
TZA,2017,0.067
GHA,2013,0.231
GTM,2016,20.498
ZMB,2012,2.292
GLOBAL,2010,28.887
LTU,2015,2.141
AGO,2013,18.142
RWA,2016,17.068
ISL,2016,0.688
ESP,2015,0.485
IDN,2013,6.59
MOZ,2019,21.025
CZE,2014,30.513
